Price,Year,Mileage,City,State,Vin,Make,Model
17540,2015,30348,San Jose, CA,YV126MFAXF2303602,Volvo,S60T5
11720,2012,76951,Auburn, IN,YV1622FS6C2021205,Volvo,S60FWD
6795,2006,54181,ALEXANDRIA, VA,YV1MS390862216864,Volvo,S402.4L
11498,2011,90293,Colorado Springs, CO,YV1672MW1B2594065,Volvo,V504dr
17800,2014,24217,Manchester, MO,YV1612FS3E2293121,Volvo,S60T5
8990,2010,93523,Metairie, LA,YV1982AS1A1114767,Volvo,S804dr
7995,2004,44992,Honolulu, HI,YV1TS59H541370626,Volvo,S804dr
13994,2013,45378,Fallston, MD,YV1612FS6D1219549,Volvo,S60T5
12828,2012,58786,Fort Wayne, IN,YV1622FSXC2043241,Volvo,S60FWD
14499,2014,49948,Lindon, UT,YV1612FS0E2293688,Volvo,S60T5
7490,2008,86293,Edgewater Park, NJ,YV1AS982981073831,Volvo,S804dr
13992,2012,65330,Frederick, CO,YV1622FS2C2039054,Volvo,S60FWD
17450,2014,35299,North Haven, CT,YV1612FS0E2277099,Volvo,S60T5
5995,2007,92306,Knoxville, TN,YV1RS592172601851,Volvo,S604dr
11553,2012,78210,Nazareth, PA,YV1622FS9C2118625,Volvo,S60FWD
9977,2009,65578,Falls Church, VA,YV1AS982491101858,Volvo,S804dr
10450,2012,82207,Savannah, GA,YV1622FS1C2103858,Volvo,S60FWD
5500,2004,76595,Fort Myers, FL,YV1TS91ZX41374845,Volvo,S804dr
13587,2012,64165,Garden City, GA,YV1622FS1C2100958,Volvo,S60FWD
7950,2008,78206,Redmond, WA,YV1RS592X82678252,Volvo,S604dr
10221,2012,85422,Chantilly, VA,YV1622FS1C2089170,Volvo,S60FWD
16489,2015,43717,Hamilton, NJ,YV126MFA4F1313726,Volvo,S60T5
4258,2006,105780,Tampa, FL,YV1RS592362527623,Volvo,S602.5L
10899,2012,77439,Chantilly, VA,YV1622FS4C2097070,Volvo,S60FWD
9929,2012,89132,Denton, TX,YV1622FS6C2134832,Volvo,S60FWD
13929,2013,53987,Mesa, AZ,YV1612FS2D2192442,Volvo,S60T5
4994,2004,79844,Chantilly, VA,YV1RS61T942401760,Volvo,S602.4L
15777,2013,44891,San Juan Capistrano, CA,YV1612FS2D2205609,Volvo,S60T5
6361,2007,100764,Edmonds, WA,YV1RS592772635003,Volvo,S604dr
7995,2009,75800,Naugatuck, CT,YV4BZ982491047996,Volvo,XC704dr
11995,2010,51301,Manassas, VA,YV1982AS3A1132459,Volvo,S804dr
8999,2008,66740,Falls Church, VA,YV1RS592782686437,Volvo,S604dr
10990,2010,63505,Carrollton, TX,YV1982AS0A1124965,Volvo,S804dr
6950,2005,79997,Brea, CA,YV1MW390352110695,Volvo,V502.4L
6495,2009,105583,Sacramento, CA,YV1RS592392735635,Volvo,S604dr
6993,2005,103694,Pensacola, FL,YV1MW682752077740,Volvo,V502.5L
13995,2015,67083,Doral, FL,YV126MFB0F2307425,Volvo,S60T5
10991,2012,85102,Harvey, LA,YV1622FS0C2124197,Volvo,S60FWD
11993,2012,76573,West Valley, UT,YV1622FS8C2097864,Volvo,S60FWD
5900,2007,92800,Nashville, TN,YV4CZ982571339609,Volvo,XC90AWD
8997,2010,76539,Harrisburg, PA,YV1382MS0A2501452,Volvo,S404dr
16766,2013,30978,Worthington, OH,YV1612FS7D2218520,Volvo,S60T5
13891,2012,51572,Kennesaw, GA,YV1622FS3C2123626,Volvo,S60FWD
14000,2012,62568,Daphne, AL,YV1622FS9C2080006,Volvo,S60FWD
12500,2010,48018,Larchmont, NY,YV1960AS6A1130389,Volvo,S804dr
11650,2012,70308,Baltimore, MD,YV1622FS5C2039906,Volvo,S60FWD
13997,2013,70954,Greensboro, NC,YV1612FS5D1204458,Volvo,S60T5
17995,2015,39775,Colmar, PA,YV126MFK0F1337949,Volvo,S602015.5
4985,2009,125163,Pensacola, FL,YV1RS592292724237,Volvo,S604dr
11992,2012,76469,Medford, MA,YV1622FS6C2031409,Volvo,S60FWD
16250,2015,63480,Dublin, OH,YV140MFK0F1347990,Volvo,S602015.5
6500,2009,107140,Austin, TX,YV1RS592592722451,Volvo,S604dr
17799,2015,22694,West Park, FL,YV126MFB4F1304128,Volvo,S60T5
13950,2012,55180,Hurst, TX,YV1622FS7C2109163,Volvo,S60FWD
8995,2009,91571,Sacramento, CA,YV1MW390792476715,Volvo,V504dr
7995,2009,60611,Casselberry, FL,YV1MS382592463640,Volvo,S404dr
16199,2013,52794,AUSTIN, TX,YV1612FS2D2179870,Volvo,S60T5
15500,2014,42507,Bellerose, NY,YV1612FS5E2295906,Volvo,S60T5
16500,2015,39386,Canton, MA,YV126MFJ7F1352374,Volvo,S602015.5
8950,2008,84526,Kernersville, NC,YV1MW382882379914,Volvo,V504dr
12990,2012,77517,San Antonio, TX,YV1622FSXC2136809,Volvo,S60FWD
15490,2012,25981,Daytona, FL,YV1622FSXC2048309,Volvo,S60FWD
4795,2004,57400,Houston, TX,YV1VS27584F063907,Volvo,S402004
9995,2010,78885,Arlington, TX,YV1960AS2A1130275,Volvo,S804dr
13988,2013,61993,Fremont, CA,YV1612FS5D2221643,Volvo,S60T5
19324,2014,13106,Silver Spring, MD,YV1612FS2E2271627,Volvo,S60T5
12888,2012,61241,Kenner, LA,YV1622FS3C2104252,Volvo,S60FWD
10957,2012,81382,Birmingham, AL,YV1622FS9C2079521,Volvo,S60FWD
17861,2015,31728,Corte Madera, CA,YV140MFA3F1312495,Volvo,S60T5
5995,2008,121254,Raleigh, NC,YV1MW382182368298,Volvo,V504dr
9000,2011,104218,Scottsdale, AZ,YV4952CY9B1590411,Volvo,XC90FWD
6299,2005,75402,Riverdale, NJ,YV1CZ592751196843,Volvo,XC904dr
12988,2012,72892,Elk Grove, CA,YV1622FS6C2033709,Volvo,S60T5
2992,2007,157797,Barrington, IL,YV1MW382372295448,Volvo,V504dr
9999,2009,71989,El Cajon, CA,YV1AS982291106489,Volvo,S804dr
12672,2012,76008,Augusta, GA,YV1622FS5C2080049,Volvo,S60Sedan
18750,2015,35582,North Haven, CT,YV140MFB3F1305880,Volvo,S60T5
8450,2007,73693,Alexandria, VA,YV1AS982371029242,Volvo,S804dr
11641,2012,74799,Manassas, VA,YV1622FS4C2096453,Volvo,S60FWD
15000,2013,52811,Albuquerque, NM,YV1612FS4D2170362,Volvo,S60T5
14950,2013,58827,Manchester, MO,YV1612FS1D1220740,Volvo,S60T5
8280,2006,78300,Garner, NC,YV1MW682562231573,Volvo,V502.5L
7995,2009,107969,Attleboro, MA,YV1MW390392485461,Volvo,V504dr
15487,2012,54100,Knoxville, TN,YV1622FS5C2119495,Volvo,S60FWD
15999,2015,48912,Miami, FL,YV140MFK1F2358040,Volvo,S602015.5
7999,2007,83050,Emmaus, PA,YV1AS982871035800,Volvo,S804dr
10795,2011,81491,Brooklyn, NY,YV1902FH1B2009596,Volvo,S604dr
8995,2007,68101,Arlington, VA,YV1AS982X71036320,Volvo,S804dr
11412,2012,87103,Norwood, MA,YV1622FS3C2112156,Volvo,S60T5
7347,2010,81334,Ocala, FL,YV1382MS7A2499764,Volvo,S404dr
18499,2015,19160,Fullerton, CA,YV140MFC0F1308843,Volvo,S60T5
6999,2006,94574,Mooresville, NC,YV1MW382562175827,Volvo,V502.4L
7990,2009,97647,Dallas, TX,YV1AS982791089222,Volvo,S804dr
6922,2010,102216,Milledgeville, GA,YV1382MSXA2504164,Volvo,S404dr
10000,2012,95935,Ontario, CA,YV1622FS5C2118816,Volvo,S60T5
14099,2012,46577,Honolulu, HI,YV1622FS0C2032295,Volvo,S60FWD
16780,2013,32832,PENSACOLA, FL,YV1612FS3D2188058,Volvo,S60T5
9988,2010,50337,Raleigh, NC,YV1382MS8A2490359,Volvo,S404dr
8995,2008,53291,Metairie, LA,YV1MS382382380884,Volvo,S404dr
10980,2012,84468,Chantilly, VA,YV1622FS2C2081403,Volvo,S60FWD
5500,2006,113328,Arlington, TX,YV1MW382262174358,Volvo,V502.4L
12950,2012,70744,Salt Lake City, UT,YV1622FS0C2083263,Volvo,S60FWD
12478,2011,71401,NASHVILLE, TN,YV1952AS8B1148134,Volvo,S804dr
16997,2013,38041,Charleston, SC,YV1612FS1D1228594,Volvo,S60T5
14498,2014,59670,Marlborough, MA,YV1612FS7E2274023,Volvo,S60T5
15900,2013,38000,Portsmouth, VA,YV1952AS5D1166383,Volvo,S803.2L
8499,2012,115167,Snellville, GA,YV1622FSXC2036872,Volvo,S60FWD
14995,2013,68470,Boise, ID,YV1612FH0D2183789,Volvo,S60T5
13890,2012,60203,Richmond, VA,YV1622FS2C2100273,Volvo,S60FWD
15995,2014,42359,Hayward, CA,YV1612FS0E2279435,Volvo,S60T5
11920,2013,83298,San Antonio, TX,YV1612FSXD2201338,Volvo,S60T5
11238,2010,79139,Fort Walton Beach, FL,YV1960AS8A1126733,Volvo,S804dr
7776,2008,72909,Fairfax, VA,YV1MS382382383753,Volvo,S404dr
13995,2012,49898,Jersey City, NJ,YV1622FS5C2076194,Volvo,S60FWD
12987,2012,68134,West Palm Beach, FL,YV1622FS0C2079472,Volvo,S60FWD
13936,2011,51767,Miami, FL,YV1902FH1B2009243,Volvo,S604dr
6992,2008,106876,DAVENPORT, IA,YV1RS592382689979,Volvo,S604dr
13999,2015,76455,Derby, CT,YV126MFJ9F2368862,Volvo,S602015.5
7125,2008,92294,Portsmouth, NH,YV1MS382782383724,Volvo,S404dr
11256,2011,89134,Dayton, OH,YV1940AS6B1137673,Volvo,S804dr
12998,2013,71445,Carrolton, TX,YV1612FS0D2232405,Volvo,S60T5
7890,2007,81429,Hasbrouck Heights, NJ,YV1RS547372637527,Volvo,S604dr
14875,2012,50172,Nazareth, PA,YV1622FS0C2098295,Volvo,S60T5
18500,2014,23748,Hingham, MA,YV1612FS9E2275769,Volvo,S60T5
6995,2005,51199,Schaumburg, IL,YV1MS382552091971,Volvo,S402.4L
10781,2012,98193,Point Pleasant, NJ,YV1622FS7C2045870,Volvo,S60T5
18100,2015,48464,North Haven, CT,YV126MFB6F1299837,Volvo,S60T5
11272,2012,93983,Martin, TN,YV1622FS0C2118822,Volvo,S60T5
15000,2013,61629,San Jose, CA,YV1612FS9D1222462,Volvo,S60T5
17378,2014,27878,Jersey City, NJ,YV1612FS2E1287249,Volvo,S60T5
16997,2013,30855,Concord, NC,YV1612FS0D1204478,Volvo,S60T5
16998,2014,32691,Dallas, TX,YV1612FSXE1287208,Volvo,S60T5
17602,2013,30892,Salem, VA,YV1612FSXD1228240,Volvo,S60T5
8998,2008,92544,Norristown, PA,YV1RS592982670496,Volvo,S604dr
13450,2012,58412,Matthews, NC,YV1622FS6C2099497,Volvo,S60FWD
11206,2012,85520,Wilmington, NC,YV1622FS8C2117661,Volvo,S60T5
13993,2013,65071,Concord, NH,YV1612FSXD2226272,Volvo,S60T5
15900,2013,48827,Fairfield, CA,YV1612FS6D1204419,Volvo,S60T5
8495,2006,63784,Tucson, AZ,YV4CY592061230564,Volvo,XC902.5L
10985,2011,93253,Yarmouth, ME,YV1940AS2B1149559,Volvo,S804dr
7995,2007,95927,West Columbia, SC,YV1MJ682872292495,Volvo,V504dr
11000,2012,88606,Albuquerque, NM,YV1622FS6C2132031,Volvo,S60FWD
9990,2012,100782,Newport, RI,YV1622FS9C2122982,Volvo,S60FWD
11994,2010,75725,Fairfax, VA,YV1982AS7A1125918,Volvo,S804dr
6950,2007,94519,Sarasota, FL,YV1RH592172625503,Volvo,S604dr
13000,2012,74517,Meriden, CT,YV1622FS3C2129104,Volvo,S60FWD
12948,2012,82952,Austin, TX,YV1622FS4C2029674,Volvo,S60T5
13700,2015,82196,Medina, MN,YV140MFJ3F2366812,Volvo,S602015.5
20299,2016,11358,Post Falls, ID,YV126MFK0G2397709,Volvo,S60T5
8349,2009,74802,Bentonville, AR,YV1MS382592450211,Volvo,S404dr
10995,2007,60351,Hayward, CA,YV1MW682X72294394,Volvo,V504dr
6500,2006,110423,Georgetown, TX,YV1RS592162556747,Volvo,S602.5L
19450,2014,15143,St. Louis, MO,YV1612FS5E2277700,Volvo,S60T5
14900,2013,63706,Ballwin, MO,YV1612FS5D2190913,Volvo,S60T5
8619,2009,110633,Fredericksburg, VA,YV1AH992991093236,Volvo,S804dr
8880,2009,92374,Alpharetta, GA,YV1AS982291094456,Volvo,S804dr
10300,2012,97609,Midlothian, VA,YV1622FS2C2103304,Volvo,S60FWD
18994,2015,40168,Richmond, VA,YV126MFBXF1305042,Volvo,S60T5
6500,2009,88203,Sterling Heights, MI,YV1MC67249J072064,Volvo,C702dr
16261,2013,40899,Hickory, NC,YV1612FS1D2226211,Volvo,S60T5
14990,2012,50756,Taylor, TX,YV1622FS9C2106152,Volvo,S60FWD
6980,2004,72926,Burbank, IL,YV1TS59H141372602,Volvo,S802.5T
18995,2014,27291,Brooklyn, NY,YV1612FS4E2286095,Volvo,S60T5
8990,2004,66558,Winston Salem, NC,YV1TS92D941358235,Volvo,S804dr
11090,2012,88890,South Easton, MA,YV1622FS9C2080183,Volvo,S60FWD
18950,2014,22104,St. Louis, MO,YV1612FS8E2283474,Volvo,S60T5
4300,2004,114245,Cincinnati, OH,YV1RS59V342406226,Volvo,S602.5L
6995,2005,84841,Kahului, HI,YV1CZ911451144564,Volvo,XC904dr
13547,2013,67984,Duluth, GA,YV1612FS9D2202027,Volvo,S60T5
6998,2009,120150,San Benito, TX,YV1AS982X91094415,Volvo,S804dr
17000,2015,53221,Dallas, TX,YV140MFB4F1306245,Volvo,S60T5
9375,2009,55265,Plano, TX,YV1MS382992447683,Volvo,S404dr
8995,2008,94317,Reno, NV,YV1MW390682376085,Volvo,V504dr
4995,2005,99448,PINELLAS PARK, FL,YV1CZ911451172350,Volvo,XC904dr
11999,2011,75492,Jefferson City, MO,YV1952AS9B1148305,Volvo,S804dr
8500,2007,66845,Bellevue, WA,YV1MS390072284738,Volvo,S404dr
16491,2013,38893,West Palm Beach, FL,YV1612FS5D2184092,Volvo,S60T5
10000,2009,87292,Golden Valley, MN,YV1AS982091096707,Volvo,S804dr
14950,2012,43023,Daytona, FL,YV1622FS1C2022312,Volvo,S60FWD
13195,2012,64187,Mundelein, IL,YV1622FS3C2048913,Volvo,S60T5
10495,2011,81569,Brooklyn Center, MN,YV1672MS9B2537741,Volvo,S404dr
19989,2014,26375,San Antonio, TX,YV1612FS6E1280689,Volvo,S60T5
16873,2013,43732,Manchester, MO,YV1612FH3D2194429,Volvo,S60T5
17475,2014,29919,Chantilly, VA,YV1612FS5E2294254,Volvo,S60T5
3751,2006,140785,Nashville, TN,YV1MW382362162056,Volvo,V502.4L
16000,2013,38459,Versailles, KY,YV1612FS1D2190746,Volvo,S60T5
14847,2013,71065,Winston Salem, NC,YV1612FS8D2188217,Volvo,S60T5
14750,2013,69853,Doylestown, PA,YV1612FS0D2230766,Volvo,S60T5
7995,2008,92911,Van Nuys, CA,YV1RS547382690052,Volvo,S604dr
13495,2013,75604,Valparaiso, IN,YV1612FS4D2187842,Volvo,S60T5
18995,2014,32430,Temple, TX,YV1612FS6E2270352,Volvo,S60T5
7995,2009,72927,Marietta, GA,YV1MS382492454802,Volvo,S404dr
18998,2015,33331,Richardson, TX,YV140MFB4F2301413,Volvo,S60T5
12900,2013,77204,Raleigh, NC,YV1612FS9D2189005,Volvo,S60T5
7988,2008,73915,Raleigh, NC,YV1MS382382406643,Volvo,S404dr
10969,2010,88181,Raleigh, NC,YV1982AS6A1113212,Volvo,S804dr
9128,2009,91972,Tucson, AZ,YV1AS982691100940,Volvo,S804dr
15490,2012,37695,Daytona, FL,YV1622FS5C2145126,Volvo,S60FWD
9700,2010,96283,Austin, TX,YV4982CY0A1546464,Volvo,XC90FWD
8199,2008,62507,Honolulu, HI,YV1MS382882392884,Volvo,S404dr
9997,2012,104000,Sacramento, CA,YV1622FS3C2085525,Volvo,S60FWD
5995,2007,109208,Knoxville, TN,YV1RS592672601845,Volvo,S604dr
8505,2007,79021,Manheim, PA,YV1RH592172602061,Volvo,S604dr
18000,2014,35711,Lisle, IL,YV1612FS5E2286297,Volvo,S60T5
16385,2013,64812,Westminster, MD,YV1612FS6D1225402,Volvo,S60T5
17888,2015,35615,Davie, FL,YV140MFB6F1316677,Volvo,S60T5
7450,2009,112803,Waterbury, CT,YV1AS982091106877,Volvo,S804dr
17500,2014,49356,Chantilly, VA,YV1612FS9E2290403,Volvo,S60T5
10250,2011,68627,Philadelphia, PA,YV1672MS7B2535521,Volvo,S404dr
10995,2012,92457,San Antonio, TX,YV1622FS5C2122204,Volvo,S60FWD
13995,2013,64932,Manassas, VA,YV1612FS2D2190917,Volvo,S60T5
5498,2006,114546,San Antonio, TX,YV1RS592162554948,Volvo,S602.5L
19999,2015,27001,Owings Mills, MD,YV126MFB5F2301328,Volvo,S60T5
16543,2013,63793,Plaistow, NH,YV1612FH5D2171850,Volvo,S60T5
7093,2006,82170,Burlingame, CA,YV1MS390X62195984,Volvo,S402.4L
3995,2004,108150,Sacramento, CA,YV1RS59V242317344,Volvo,S602.5L
8100,2009,90286,McKinney, TX,YV1MS382992455928,Volvo,S404dr
14999,2014,61668,Alexandria, VA,YV1612FSXE2298252,Volvo,S60T5
6900,2011,104743,Pompano Beach, FL,YV1672MS3B2535306,Volvo,S404dr
21982,2016,8908,Frederick, MD,YV126MFJ1G2410295,Volvo,S60T5
14950,2014,80315,Wilmington, NC,YV1612FS8E2278856,Volvo,S60T5
15999,2012,48537,Loveland, CO,YV1902FH6C2117858,Volvo,S60AWD
7500,2008,114881,Virginia Beach, VA,YV1MW672182368420,Volvo,V504dr
7498,2008,97690,Marietta, GA,YV4CY982381433704,Volvo,XC90FWD
5980,2005,71364,Columbia, MO,YV1MS390052117017,Volvo,S402.4L
4999,2006,113900,Fredericksburg, VA,YV1RS592X62537906,Volvo,S602.5L
4795,2005,135787,Spokane Valley, WA,YV1TS592551402956,Volvo,S804dr
15995,2014,50309,Columbus, OH,YV1612FH8E2294348,Volvo,S60T5
17500,2014,43083,Lisle, IL,YV1612FS3E1284442,Volvo,S60T5
15490,2012,39447,Daytona, FL,YV1622FS3C2137753,Volvo,S60FWD
4995,2007,122925,Clinton Township, MI,YV1RS592472606459,Volvo,S604dr
15325,2012,46922,Perrysburg, OH,YV1622FS6C2129050,Volvo,S60FWD
12990,2012,69880,Taunton, MA,YV1902FH1C2125351,Volvo,S60AWD
14995,2012,45750,Baltimore, MD,YV1622FS0C2021197,Volvo,S60FWD
8488,2009,69647,Mooresville, NC,YV1MS382992448929,Volvo,S404dr
6495,2007,108700,San Antonio, TX,YV1AS982671027632,Volvo,S804dr
5995,2007,125566,Manassas, VA,YV1MW382372320851,Volvo,V504dr
6521,2005,95587,Highlands Ranch, CO,YV1RH592152472652,Volvo,S602.5L
4499,2000,72643,West Scaramento, CA,YV1TS90DXY1091017,Volvo,S804dr
11242,2012,108921,Winston Salem, NC,YV1622FS9C2139720,Volvo,S60FWD
11950,2009,76900,Tampa, FL,YV1AS982291104533,Volvo,S804dr
6725,2005,99731,Raleigh, NC,YV1MW382952052613,Volvo,V502.4L
13482,2012,65892,Cleveland, OH,YV1622FS4C2081242,Volvo,S60FWD
15900,2012,42303,East Hanover, NJ,YV1622FSXC2117953,Volvo,S60FWD
10390,2012,101629,Jacksonville, FL,YV1622FS0C2054488,Volvo,S60FWD
6995,2003,65296,Honolulu, HI,YV1RS58D832245217,Volvo,S604dr
5997,2007,83000,Sacramento, CA,YV1MS390X72299070,Volvo,S404dr
9995,2010,99953,Collinsville, IL,YV1960AS7A1116064,Volvo,S804dr
13900,2014,80446,Hattiesburg, MS,YV1952ASXE1180264,Volvo,S803.2L
8999,2008,55768,Conroe, TX,YV1MS382982393493,Volvo,S404dr
10690,2010,60196,Houston, TX,YV1382MSXA2488645,Volvo,S404dr
5998,2007,112088,Norfork, VA,YV1RH592072602925,Volvo,S604dr
16995,2014,39980,Baltimore, MD,YV1612FS3E2293684,Volvo,S60T5
11092,2012,103745,Boardman, OH,YV1622FS8C2129552,Volvo,S60FWD
17992,2014,38000,Torrington, CT,YV1612FSXE1299097,Volvo,S60T5
7500,2005,87001,Cleveland, TN,YV1RS547152470162,Volvo,S602.4L
11577,2010,74140,Chicago, IL,YV1960AS8A1123959,Volvo,S804dr
8497,2007,96708,Albuquerque, NM,YV1MW382972313371,Volvo,V504dr
3951,2004,108520,Madison, TN,YV1CZ91HX41042909,Volvo,XC904dr
13491,2012,75501,Bonita Springs, FL,YV1622FS7C2050535,Volvo,S60FWD
17797,2015,49464,Hampton, VA,YV140MFC3F1314524,Volvo,S60T5
9495,2008,69717,Austin, TX,YV1MS672282378420,Volvo,S404dr
17029,2013,41395,Simsbury, CT,YV1612FS7D2232403,Volvo,S60T5
6498,2008,96874,Loves Park, IL,YV1MS382982397351,Volvo,S404dr
10495,2012,105651,Carrollton, TX,YV1902AH0C1152327,Volvo,S803.0L
17489,2014,50609,Woodbridge, VA,YV1612FS6E2298135,Volvo,S60T5
14794,2011,44982,Tinley Park, IL,YV1902FH8B2012947,Volvo,S604dr
6498,2007,101896,Falls Church, VA,YV1MS382572301150,Volvo,S404dr
19000,2015,36805,Richmond, VA,YV126MFB3F1305190,Volvo,S60T5
6981,2010,98731,Raleigh, NC,YV1390MS8A2492503,Volvo,S404dr
16000,2012,36115,Union City, GA,YV1622FS5C2116371,Volvo,S60FWD
14990,2015,74177,Calera, AL,YV140MFJ1F1347603,Volvo,S602015.5
20995,2015,1885,Wall, NJ,YV140MFC0F1312987,Volvo,S60T5
15990,2013,44977,Sherman Oaks, CA,YV1612FS5D1222166,Volvo,S60T5
7995,2007,93191,Sherman Oaks, CA,YV1AS982971035398,Volvo,S804dr
5494,2007,131003,Lynnwood, WA,YV1RH592072640249,Volvo,S604dr
13565,2013,84145,Orland Park, IL,YV1612FS1D2185160,Volvo,S60T5
13000,2012,72639,Baltimore, MD,YV1622FS8C2038278,Volvo,S60FWD
17475,2015,44569,Kennesaw, GA,YV140MFB4F2316316,Volvo,S60T5
18990,2014,31308,Brooklyn Park, MN,YV1612FS3E1297465,Volvo,S60T5
15991,2012,36888,Columbus, GA,YV1622FS8C2055971,Volvo,S60FWD
3995,2004,112787,Rockford, IL,YV1RS59V542348250,Volvo,S602.5L
